major_trajectory,celltype_update,count
Adipocytes,Adipocyte cells (Cyp2e1+),14376
Adipocytes,Adipocyte progenitor cells,19827
Adipocytes,Brown adipocyte cells,80279
B_cells,B cell progenitors,1327
B_cells,B cells,43092
CNS_neurons,Amacrine cells,10061
CNS_neurons,Amacrine/Horizontal precursor cells,5191
CNS_neurons,Cajal-Retzius cells,86032
CNS_neurons,Cerebellar Purkinje cells,28523
CNS_neurons,Cholinergic amacrine cells,1426
CNS_neurons,Cranial motor neurons,23975
CNS_neurons,GABAergic cortical interneurons,625378
CNS_neurons,GABAergic neurons,385901
CNS_neurons,Glutamatergic neurons,745571
CNS_neurons,Horizontal cells,915
CNS_neurons,Neural progenitor cells (Neurod1+),23278
CNS_neurons,Neural progenitor cells (Ror1+),33608
CNS_neurons,Neurons (Slc17a8+),1952
CNS_neurons,PV-containing retinal ganglion cells,1190
CNS_neurons,Retinal ganglion cells,11308
CNS_neurons,Spinal cord dorsal progenitors,42759
CNS_neurons,Spinal cord motor neurons,30799
CNS_neurons,Spinal cord ventral progenitors,23379
CNS_neurons,Thalamic neuronal precursors,86232
Cardiomyocytes,Atrial cardiomyocytes,1284
Cardiomyocytes,First heart field,28568
Cardiomyocytes,Second heart field,3535
Cardiomyocytes,Ventricular cardiomyocytes,3749
Definitive_erythroid,Definitive early erythroblasts (CD36-),978104
Definitive_erythroid,Definitive erythroblasts (CD36+),93372
Endothelium,Arterial endothelial cells,26911
Endothelium,Brain capillary endothelial cells,15412
Endothelium,Brain pericytes,3690
Endothelium,Endocardial cells,14029
Endothelium,Endothelium,90417
Endothelium,Glomerular endothelial cells,17106
Endothelium,Hematoendothelial progenitors,9691
Endothelium,Liver sinusoidal endothelial cells,31382
Endothelium,Lymphatic vessel endothelial cells,25549
Endothelium,Microvascular endothelial cells,5625
Endothelium,Pericytes,14106
Endothelium,Venous and capillary endothelial cells,59547
Ependymal_cells,Choroid plexus,9844
Ependymal_cells,Ciliated nodal cells,60
Ependymal_cells,Ependymal cells,5895
Epithelial_cells,Amniotic ectoderm,11481
Epithelial_cells,Anterior intermediate mesoderm,7725
Epithelial_cells,Apical ectodermal ridge,6238
Epithelial_cells,Ascending loop of Henle,4088
Epithelial_cells,Basal keratinocytes,19658
Epithelial_cells,Biliary epithelial cells,1762
Epithelial_cells,Bladder urothelial cells,1314
Epithelial_cells,Branchial arch epithelium,42131
Epithelial_cells,Collecting duct intercalated cells,434
Epithelial_cells,Collecting duct principal cells,1897
Epithelial_cells,Conjunctival goblet cells,1244
Epithelial_cells,Connecting tubule,563
Epithelial_cells,Corneal epithelial cells,1078
Epithelial_cells,Dental epithelial cells,9971
Epithelial_cells,Distal convoluted tubule,1287
Epithelial_cells,Foregut epithelial cells,6952
Epithelial_cells,Granular keratinocytes,42162
Epithelial_cells,Gut,21203
Epithelial_cells,Lens epithelial cells,1599
Epithelial_cells,Metanephric mesenchyme,26546
Epithelial_cells,Nephron progenitors,19914
Epithelial_cells,Notochord,3736
Epithelial_cells,Olfactory bulb cells,5973
Epithelial_cells,Olfactory epithelial cells,33480
Epithelial_cells,Olfactory pit cells,2079
Epithelial_cells,Otic epithelial cells,29418
Epithelial_cells,Pancreatic acinar cells,3767
Epithelial_cells,Parathyroid epithelial cells,429
Epithelial_cells,Pituitary/Pineal gland progenitors,2786
Epithelial_cells,Placodal area,60873
Epithelial_cells,Podocytes,4880
Epithelial_cells,Posterior intermediate mesoderm,5410
Epithelial_cells,Pre-epidermal keratinocytes,116330
Epithelial_cells,Primordial germ cells,1724
Epithelial_cells,Proximal tubule cells,16167
Epithelial_cells,Thymic epithelial cells,1950
Epithelial_cells,Thyroid gland cells,1586
Epithelial_cells,Tooth junctional epithelium,2918
Epithelial_cells,Ureteric bud,6225
Eye_and_other,Bipolar precursor cells,3417
Eye_and_other,Ciliary margin cells,723
Eye_and_other,Cochlear hair cells,575
Eye_and_other,Cone precursor cells,5765
Eye_and_other,Naive retinal progenitor cells,52967
Eye_and_other,Nonsensory cochlear epithelium,51
Eye_and_other,Pancreatic islets,1352
Eye_and_other,Photoreceptor precursor cells,4703
Eye_and_other,Pineal gland,540
Eye_and_other,Pituitary gland cells,5072
Eye_and_other,Retinal progenitor cells,10243
Eye_and_other,Rod precursor cells,2743
Eye_and_other,Suprachiasmatic nucleus,6558
Hepatocytes,Hepatocytes,294955
Intermediate_neuronal_progenitors,Cortical Interneurons (Prox1+),7624
Intermediate_neuronal_progenitors,Deep-layer neurons,249054
Intermediate_neuronal_progenitors,Intermediate neuronal progenitors,47596
Intermediate_neuronal_progenitors,Subplate neurons,103515
Intermediate_neuronal_progenitors,Upper-layer neurons,239716
Intestine,Extraembryonic visceral endoderm,1659
Intestine,Intestinal enteroendocrine cells,536
Intestine,Intestinal goblet cells,1745
Intestine,Midgut/Hindgut epithelial cells,47869
Lung_and_airway,Airway club cells,6264
Lung_and_airway,Airway goblet cells,408
Lung_and_airway,Alveolar Type 1 cells,14321
Lung_and_airway,Alveolar Type 2 cells,21443
Lung_and_airway,Lung cells (Eln+),5308
Lung_and_airway,Lung progenitor cells,29234
Mast_cells,Mast cells,22592
Mast_cells,Mast cells (P2rx7+),1656
Megakaryocytes,Megakaryocytes,15733
Mesoderm,Chondrocytes (Atp1a2+),121185
Mesoderm,Chondrocytes (Otor+),12198
Mesoderm,Dermatome,204457
Mesoderm,Dermomyotome,130025
Mesoderm,Early chondrocytes,144905
Mesoderm,Facial mesenchyme,378136
Mesoderm,Fibroblasts,665322
Mesoderm,Lateral plate and intermediate mesoderm,749341
Mesoderm,Limb mesenchyme progenitors,217777
Mesoderm,Mesodermal progenitors (Tbx6+),50235
Mesoderm,Pre-osteoblasts (Sp7+),136465
Mesoderm,Sclerotome,466422
Muscle_cells,Muscle progenitor cells,26132
Muscle_cells,Muscle progenitor cells (Prdm1+),4922
Muscle_cells,Myoblasts,191354
Muscle_cells,Myofibroblasts,45865
Muscle_cells,Myotubes,43405
Neural_crest_PNS_glia,Melanocyte cells,3348
Neural_crest_PNS_glia,Myelinating Schwann cells,35935
Neural_crest_PNS_glia,Myelinating Schwann cells (Tgfb2+),7198
Neural_crest_PNS_glia,Neural crest (PNS glia),69625
Neural_crest_PNS_glia,Olfactory ensheathing cells,3963
Neural_crest_PNS_glia,Satellite glial cells,7265
Neural_crest_PNS_neurons,Dorsal root ganglion neurons,14211
Neural_crest_PNS_neurons,Enteric neurons,4707
Neural_crest_PNS_neurons,Neural crest (PNS neurons),50888
Neural_crest_PNS_neurons,Otic sensory neurons,7899
Neural_crest_PNS_neurons,Parasympathetic neurons,8649
