group,scdiv_celltype,scdiv_singleton,hill_number,time,condition,num_cell_types
Ctrl48h,1.0040583670129566,1.280878998020312,1.3410417703047135,48h,Ctrl,6
NACL48h,1.0130776942358397,1.2916358865269766,1.3518863575038935,48h,NACL,10
RACL48h,1.0260505873691812,1.3417319221130446,1.6040231450099152,48h,RACL,11
XAL48h,1.0178440364334858,1.3300045691390474,1.423234771396635,48h,XAL,9
Ctrl72h,1.016090724710946,1.3901230730546212,2.061272638620782,72h,Ctrl,10
NACL72h,1.0197513092895976,1.3831659068214806,2.3158156671262544,72h,NACL,16
RACL72h,1.0262064227356267,1.3912668849274894,2.890640587630613,72h,RACL,14
XAL72h,1.0211819451707116,1.436612722198121,2.736379821315877,72h,XAL,14
Ctrl96h,1.015296069353847,1.4076633941423777,2.3942625136367495,96h,Ctrl,18
NACL96h,1.0424933633983755,1.4191186714516406,6.49678155525859,96h,NACL,30
RACL96h,1.0659122649887014,1.4422577380007688,9.623273407534652,96h,RACL,34
XAL96h,1.0330294851008328,1.41962892212436,5.227003966308627,96h,XAL,27
Ctrl120h,1.0230492258867632,1.6153665162071935,4.419421060901198,120h,Ctrl,19
NACL120h,1.0453777069633665,1.5439391697637461,5.851040436759269,120h,NACL,32
RACL120h,1.0619098753417249,1.6954553772950984,8.203559961832685,120h,RACL,38
XAL120h,1.0380176017628537,1.6134810662118744,5.05643323811861,120h,XAL,30
