"gene_id","gene_symbol","mean","variance","variance.expected","variance.standardized"
"ENSG00000107317.13","PTGDS",0.571598808341609,78.9345394040308,0.995309880624849,27.0850149337866
"ENSG00000132465.12","JCHAIN",2.76087388282026,2558.94430274205,10.0822016206525,24.8126493003347
"ENSG00000211592.8","IGKC",35.8438927507448,486520.478359242,744.497696073788,23.8965278228377
"ENSG00000169245.6","CXCL10",1.15571002979146,87.8545880100592,2.64120557824946,23.7283191003361
"ENSG00000170476.16","MZB1",0.525620655412115,51.8914380644459,0.893609353293561,19.6331090854987
"ENSG00000100453.14","GZMB",1.22552135054618,52.61941017111,2.8814287677757,18.2615689686924
"ENSG00000179639.11","FCER1A",0.242303872889772,5.76370826796592,0.352847098187085,16.3298474235412
"ENSG00000129757.15","CDKN1C",1.04021847070506,34.4865142039296,2.26396685402031,15.2327822921474
"ENSG00000211679.2","IGLC3",2.10556107249255,4565.42087482173,6.59912453199218,15.152053559216
"ENSG00000135916.16","ITM2C",0.648162859980139,18.5005900300832,1.1730212766278,14.8953552867321
"ENSG00000197353.4","LYPD2",0.106752730883813,2.50712491948554,0.147260044571772,14.5039525737719
"ENSG00000173372.18","C1QA",0.128202581926514,3.5834234250405,0.178191848149938,14.4692129622114
"ENSG00000115523.17","GNLY",7.45114200595829,681.211784871101,50.0260338935742,13.6171455510606
"ENSG00000239961.3","LILRA4",0.215988083416087,4.18425125817559,0.310352740609216,13.4822436236973
"ENSG00000211895.5","IGHA1",5.08182720953327,26433.0678890036,26.7320955016267,13.2938327517999
"ENSG00000163736.4","PPBP",0.137537239324727,17.2091082454599,0.191695372676195,13.0147968027903
"ENSG00000176890.16","TYMS",0.064051638530288,1.49862813518204,0.0870950185508486,12.9463261664502
"ENSG00000173369.18","C1QB",0.0709036742800397,3.49998756346847,0.0966742780530247,12.6908845478277
"ENSG00000211890.4","IGHA2",0.347169811320755,126.882341279136,0.535304385762225,12.2958214151032
"ENSG00000048462.11","TNFRSF17",0.0965243296921549,3.25118466099308,0.132802705174316,11.5381603567908
"ENSG00000070031.4","SCT",0.111916583912612,1.96691528552294,0.154614336435752,11.3439436749739
"ENSG00000158481.13","CD1C",0.272492552135055,4.42688255407103,0.403101320176693,10.9820591808793
"ENSG00000099958.15","DERL3",0.146772591857001,2.32983117581044,0.205137242901742,10.7392614356173
"ENSG00000148773.14","MKI67",0.0550148957298908,1.24655097306243,0.0744762802505841,10.3926284186399
"ENSG00000101162.4","TUBB1",0.046772591857001,1.59707717839263,0.0630424701144394,10.0189708400166
"ENSG00000100721.11","TCL1A",0.555412115193645,9.58929188993167,0.959101011934922,9.99820850004724
"ENSG00000117632.23","STMN1",0.59175769612711,10.5667609384024,1.04104676081817,9.94480652876419
"ENSG00000211899.10","IGHM",9.59692154915591,56466.8933265065,76.2105451281299,9.724522657613
"ENSG00000171848.16","RRM2",0.0510427010923535,1.19810944995914,0.0689622330978707,9.72078677467658
"ENSG00000275302.2","CCL4",0.694438927507448,12.4495767782243,1.28600002606462,9.68085266399425
"ENSG00000132514.14","CLEC10A",0.4,6.07178468566891,0.635370461081541,9.5562904755335
"ENSG00000168497.5","CAVIN2",0.0457795431976167,1.58167599866778,0.0616655600269259,9.54165354053456
"ENSG00000166428.14","PLD4",0.570605759682224,9.47455549755349,0.993075424230506,9.54062024533032
"ENSG00000183242.13","WT1-AS",0.12591857000993,2.96874915614534,0.1748856998733,9.4604687450807
"ENSG00000203747.13","FCGR3A",2.3862959285005,75.1742287057446,8.02061379349083,9.37262791118956
"ENSG00000165949.13","IFI27",0.0682224428997021,1.19874179975448,0.0929296436773998,9.34671919815671
"ENSG00000196628.20","TCF4",0.805561072492552,14.1393672241476,1.57529581507996,8.97569020928903
"ENSG00000198467.16","TPM2",0.150148957298908,1.88111776507737,0.210094842871267,8.95365987745833
"ENSG00000211677.2","IGLC2",6.46206554121152,68125.1714181183,39.565170216972,8.57311232146255
"ENSG00000211897.9","IGHG3",0.227805362462761,19.1057120367972,0.329333702594308,8.49869156747639
"ENSG00000132386.11","SERPINF1",0.162065541211519,1.9077871721862,0.227876636151008,8.37201744070837
"ENSG00000196735.13","HLA-DQA1",4.88530287984111,209.287965520533,25.0769381638301,8.34583409478588
"ENSG00000105426.19","PTPRS",0.122442899702085,1.40153221816141,0.16984425455019,8.25186711127317
"ENSG00000211896.7","IGHG1",0.609731876861966,569.871312570871,1.08244809157347,8.13821506980802
"ENSG00000198178.11","CLEC4C",0.114299900695134,1.28249486684873,0.158032766788791,8.11537311475897
"ENSG00000197992.7","CLEC9A",0.0290963257199603,0.723257004326552,0.0387211233482398,7.95477701493306
"ENSG00000105374.10","NKG7",4.78460774577954,190.413925335251,24.245853579869,7.85346346780487
"ENSG00000163687.14","DNASE1L3",0.119066534260179,1.29151248638614,0.164929152971944,7.83071072101994
"ENSG00000113088.6","GZMK",0.586792452830189,7.98308108016942,1.02971408143717,7.75271623849947
"ENSG00000163220.11","S100A9",83.6754716981132,26187.0195095341,3498.48873601858,7.48523762272768
"ENSG00000117399.14","CDC20",0.0167825223435948,0.24790582517866,0.0218708505268191,7.40824217735805
"ENSG00000143546.10","S100A8",56.5340615690169,12522.2697206163,1696.41169938091,7.38162188175538
"ENSG00000169583.13","CLIC3",0.509136047666336,6.29503023970743,0.857983987060478,7.33700201244412
"ENSG00000166803.14","PCLAF",0.0781529294935452,0.889213789302665,0.106810778074301,7.28635386462745
"ENSG00000167900.12","TK1",0.0315789473684211,0.361898688522876,0.042137279796957,7.22068883366638
"ENSG00000105369.10","CD79A",1.73157894736842,35.1317368055153,4.87690573709004,7.20369404278823
"ENSG00000168913.7","ENHO",0.087785501489573,0.866659808986317,0.120405235716872,7.19785816477473
"ENSG00000242258.2","LINC00996",0.128003972194638,1.27778358127333,0.177904502079251,7.18241284700098
"ENSG00000131747.15","TOP2A",0.0440913604766634,1.10601086860149,0.059324022440605,7.14879094918303
"ENSG00000160307.10","S100B",0.317179741807349,3.41294348045161,0.481031530172525,7.09505150156695
"ENSG00000066279.19","ASPM",0.0304865938430983,0.397223221341759,0.0406321373158893,7.02142539890935
"ENSG00000152492.15","CCDC50",0.654915590863952,8.25561939400683,1.18923472720766,6.94195956873114
"ENSG00000211685.3","IGLC7",0.0677259185700099,6.21469966466732,0.0922358831076582,6.93110693892876
"ENSG00000156738.18","MS4A1",1.16494538232373,18.5038261714132,2.67245793675225,6.92389800301223
"ENSG00000100450.13","GZMH",0.753723932472691,9.85333552016415,1.43732274303841,6.85533960127478
"ENSG00000166562.9","SEC11C",0.979245283018868,15.4514512130449,2.07497033145472,6.85381492914218
"ENSG00000197061.5","H4C3",1.3428997020854,28.2205747669792,3.30600316357577,6.6728121272157
"ENSG00000271503.7","CCL5",3.053227408143,78.3674118690274,11.8181570489086,6.63110259448322
"ENSG00000148154.10","UGCG",0.50377358490566,5.55162941739742,0.846486491646363,6.5584382883649
"ENSG00000171611.10","PTCRA",0.0794438927507448,1.04662279131983,0.108621774230289,6.54093683299703
"ENSG00000166598.16","HSP90B1",3.27159880834161,110.965356764244,13.1855557753809,6.47780287794203
"ENSG00000211829.9","TRDC",0.395332671300894,4.04917873031592,0.626340729408784,6.46481785423411
"ENSG00000117724.15","CENPF",0.059682224428997,0.830979340859883,0.0809774521290735,6.40511731923437
"ENSG00000154146.13","NRGN",0.571996027805363,7.47693940608213,0.996204146019002,6.3970874840738
"ENSG00000223865.11","HLA-DPB1",7.60089374379345,330.61366490778,51.6997040915384,6.39488505238601
"ENSG00000231389.8","HLA-DPA1",12.0014895729891,703.045881185453,111.031351857631,6.33195822101602
"ENSG00000089685.15","BIRC5",0.0295928500496524,0.269856125800497,0.0394030223728689,6.27713826668064
"ENSG00000157456.8","CCNB2",0.0174776564051639,0.157406289847323,0.0228189402218254,6.10655488347656
"ENSG00000137441.8","FGFBP2",0.645382323733863,7.08617144483604,1.16637158814057,6.07539785509763
"ENSG00000072571.20","HMMR",0.0215491559086395,0.229051925034047,0.028379353981837,6.05762388578505
"ENSG00000159674.12","SPON2",0.509831181727905,5.20017148803345,0.859477730091549,6.05038537470833
"ENSG00000291127.1","ENSG00000291127.1",0.0370407149950348,0.317527441981017,0.0496276704828347,6.04933573274615
"ENSG00000127920.6","GNG11",0.0348560079443893,0.546307035575681,0.0466364284845298,6.04430287946444
"ENSG00000108700.5","CCL8",0.0180734856007944,0.149439927065315,0.0236314081681228,6.03854463569614
"ENSG00000180644.8","PRF1",1.09175769612711,14.6550020745636,2.42920313194776,6.03284339700854
"ENSG00000180573.10","H2AC6",0.196722939424032,3.74469081904865,0.280122083627615,6.0318317636329
"ENSG00000204287.14","HLA-DRA",26.7392254220457,2634.75153500432,442.691298976254,5.95166776735225
"ENSG00000211892.4","IGHG4",0.227408142999007,64.8009966583108,0.328693474987214,5.92034362873428
"ENSG00000186081.12","KRT5",0.0194637537239325,0.176997229543163,0.0255278819904609,5.87902426340345
"ENSG00000260314.3","MRC1",0.0468718967229394,0.546020107731331,0.0631801425634526,5.87538783173826
"ENSG00000164611.13","PTTG1",0.117974180734856,1.09324130234253,0.163340958872882,5.86171942119513
"ENSG00000111796.4","KLRB1",0.947666335650447,11.585799995917,1.97985416321161,5.85184515667718
"ENSG00000211898.8","IGHD",0.663356504468719,105.415908089199,1.20963061021118,5.82430387525349
"ENSG00000206172.8","HBA1",0.0271102284011917,0.433568269703692,0.0359985352352162,5.78895343158747
"ENSG00000214548.18","MEG3",0.0142005958291956,0.152246431105018,0.0183449490718284,5.70376291471635
"ENSG00000175063.17","UBE2C",0.0299900695134062,0.692317310458532,0.0399490089504294,5.69963157921984
"ENSG00000108691.10","CCL2",0.0580933465739821,0.463701995456769,0.0787608094292994,5.68031933195689
"ENSG00000106537.8","TSPAN13",0.197020854021847,1.58894732601258,0.280578710000595,5.66310724719348
"ENSG00000160789.24","LMNA",0.476464746772592,4.4594222013095,0.788867751293404,5.65294017152815
"ENSG00000211893.4","IGHG2",1.09404170804369,2356.43002706351,2.43664180789094,5.63732456866081
"ENSG00000140968.12","IRF8",1.5408142999007,22.6197959402867,4.07696167189246,5.54819931132331
"ENSG00000196126.12","HLA-DRB1",13.430585898709,738.92491603369,134.389674257827,5.49837567591731
"ENSG00000128383.14","APOBEC3A",1.9630585898709,32.4532980231837,5.91935625757778,5.48257219383238
"ENSG00000222724.1","RNU2-63P",0.598808341608739,5.72302966531908,1.0572161417735,5.41330144252126
"ENSG00000226777.9","FAM30A",0.147864945382324,1.29077655142771,0.206738036992319,5.41034934787307
"ENSG00000134057.15","CCNB1",0.0310824230387289,0.273837640439852,0.0414529303217578,5.40095377080481
"ENSG00000170312.17","CDK1",0.0209533267130089,0.212988265772525,0.0275634287717667,5.39302276235022
"ENSG00000170891.11","CYTL1",0.0102284011916584,0.0774601722790008,0.0129447380977045,5.3796387329956
"ENSG00000088325.16","TPX2",0.023038728897716,0.182804152835011,0.0304232601707551,5.37724609613375
"ENSG00000124882.4","EREG",0.0614697120158888,0.443832580024052,0.0834762804875538,5.31687058205986
"ENSG00000126787.13","DLGAP5",0.012214498510427,0.109196307148994,0.0156390286532863,5.26640762700673
"ENSG00000179348.13","GATA2",0.00744786494538232,0.0733381080672456,0.00920804609511326,5.16861270751626
"ENSG00000131203.13","IDO1",0.107646474677259,1.81441168154235,0.148528655688243,5.1442323477815
"ENSG00000090382.7","LYZ",77.3929493545184,15543.8975170725,3025.63087936974,5.13740708526574
"ENSG00000120885.22","CLU",0.0406156901688183,0.310496393159295,0.0545291234472579,5.13593928409154
"ENSG00000169429.12","CXCL8",0.571201588877855,5.09091751522238,0.99441589124066,5.11950539011478
"ENSG00000197705.10","KLHL14",0.0248262164846077,0.307060626266644,0.0328721663752263,5.08454043822257
"ENSG00000276070.5","CCL4L2",0.058987090367428,0.468662396297721,0.0800071765543587,5.08098664154756
